"lower_bound_ip_address","upper_bound_ip_address","country"
85391360,85393407,"Netherlands"
85393408,85401599,"European Union"
85401600,85403647,"Italy"
85403648,85405695,"France"
85405696,85407743,"Russian Federation"
85407744,85409791,"Finland"
85409792,85417983,"Switzerland"
85417984,85420031,"Russian Federation"
85420032,85422079,"Russian Federation"
85422080,85424127,"Iran (ISLAMIC Republic Of)"
85424128,85426175,"Turkey"
85426176,85458943,"Belgium"
85458944,85721087,"Turkey"
85721088,85723135,"Hungary"
85723136,85725183,"Italy"
85725184,85729279,"Russian Federation"
85729280,85731327,"Iran (ISLAMIC Republic Of)"
85731328,85733375,"Germany"
85733376,85735423,"United Kingdom"
85735424,85737471,"United Kingdom"
85737472,85753855,"Germany"
85753856,85770239,"Israel"
85770240,85786623,"Germany"
85786624,85852159,"Israel"
85852160,85983231,"United Arab Emirates"
85983232,86015999,"United Arab Emirates"
86016000,86018047,"Bulgaria"
86018048,86020095,"Slovenia"
86020096,86022143,"Russian Federation"
86022144,86024191,"United Kingdom"
86024192,86026239,"Germany"
86026240,86028287,"Moldova Republic of"
86028288,86030335,"Macedonia"
86030336,86032383,"Germany"
86032384,86048767,"Oman"
86048768,86114303,"Denmark"
86114304,86147071,"Kazakhstan"
86147072,86155263,"Spain"
86155264,86157311,"Palestinian Territory Occupied"
86157312,86159359,"Israel"
86159360,86161407,"Ukraine"
86161408,86163455,"Italy"
86163456,86171647,"Iran (ISLAMIC Republic Of)"
86171648,86173695,"Germany"
86173696,86175743,"Netherlands"
86175744,86177791,"Estonia"
86177792,86179839,"Liechtenstein"
86179840,86212607,"Russian Federation"
86212608,86220799,"Russian Federation"
86220800,86222847,"Russian Federation"
86222848,86224895,"Russian Federation"
86224896,86226943,"Netherlands"
86226944,86228991,"Sweden"
86228992,86231039,"Belgium"
86231040,86233087,"Spain"
86233088,86235135,"Romania"
86235136,86237183,"Spain"
86237184,86245375,"Germany"
86245376,86376447,"Oman"
86376448,86409215,"United Arab Emirates"
86409216,86441983,"Hungary"
86441984,86474751,"France"
86474752,86482943,"Croatia (LOCAL Name: Hrvatska)"
86482944,86484991,"Russian Federation"
86484992,86487039,"Netherlands"
86487040,86489087,"United Kingdom"
86489088,86491135,"Netherlands"
86491136,86493183,"Poland"
86493184,86495231,"Russian Federation"
86495232,86497279,"Spain"
86497280,86499327,"Netherlands"
86499328,86501375,"France"
86501376,86503423,"France"
86503424,86505471,"Germany"
86505472,86507519,"United Kingdom"
86507520,86573055,"Spain"
86573056,86638591,"Romania"
86638592,86671359,"Russian Federation"
86671360,86673407,"United Kingdom"
86673408,86675455,"Germany"
86675456,86677503,"Italy"
86677504,86679551,"France"
86679552,86687743,"Romania"
86687744,86695935,"Iraq"
86695936,86704127,"Saudi Arabia"
86704128,86720511,"Portugal"
86720512,86736895,"Bosnia and Herzegowina"
86736896,86745087,"Russian Federation"
86745088,86753279,"Croatia (LOCAL Name: Hrvatska)"
86753280,86761471,"Palestinian Territory Occupied"
86761472,86763519,"Czech Republic"
86763520,86765567,"Italy"
86765568,86767615,"Russian Federation"
86767616,86769663,"Italy"
86769664,86773759,"Russian Federation"
86773760,86777855,"United Kingdom"
86777856,86779903,"Azerbaijan"
86779904,86781951,"Russian Federation"
86781952,86786047,"Russian Federation"
86786048,86788095,"Norway"
86788096,86790143,"Netherlands"
86790144,86794239,"Turkey"
86794240,86798335,"Germany"
86798336,86802431,"Switzerland"
86802432,86804479,"Georgia"
86804480,86806527,"Denmark"
86806528,86810623,"Turkey"
86810624,86812671,"France"
86812672,86814719,"Russian Federation"
86814720,86816767,"Sweden"
86816768,86818815,"Estonia"
86818816,86822911,"Portugal"
86822912,86824959,"Austria"
86824960,86827007,"Latvia"
86827008,86829055,"United Kingdom"
86829056,86831103,"United Kingdom"
86831104,86833151,"Finland"
86833152,86835199,"United Kingdom"
86835200,86837247,"Germany"
86837248,86839295,"Spain"
86839296,86843391,"United Kingdom"
86847488,86849535,"United Kingdom"
86849536,86851583,"Czech Republic"
86851584,86859775,"Russian Federation"
86859776,86863871,"Germany"
86863872,86865919,"Estonia"
86865920,86867967,"Estonia"
86867968,86872063,"Jordan"
86872064,86874111,"United Kingdom"
86874112,86876159,"Norway"
86876160,86880255,"Spain"
86880256,86882303,"Germany"
86882304,86884351,"Lebanon"
86884352,86900735,"Russian Federation"
86900736,87031807,"Turkey"
87031808,87293951,"France"
87293952,87359487,"Iran (ISLAMIC Republic Of)"
87359488,87361535,"Spain"
87361536,87363583,"Czech Republic"
87363584,87367679,"Russian Federation"
87367680,87375871,"Iran (ISLAMIC Republic Of)"
87375872,87384063,"United Kingdom"
87384064,87386111,"United Arab Emirates"
87386112,87388159,"Switzerland"
87388160,87390207,"Ukraine"
87390208,87392255,"Russian Federation"
87392256,87425023,"Bulgaria"
87425024,87556095,"Greece"
87556096,87558143,"Spain"
87558144,87560191,"Italy"
87560192,87562239,"Germany"
87562240,87564287,"Ukraine"
87564288,87566335,"Hungary"
87566336,87568383,"France"
87568384,87570431,"United Kingdom"
87570432,87572479,"Spain"
87572480,87588863,"Moldova Republic of"
87588864,87590911,"United Kingdom"
87590912,87592959,"Russian Federation"
87592960,87597055,"Denmark"
87597056,87599103,"Spain"
87599104,87601151,"United Kingdom"
87601152,87605247,"Germany"
87605248,87621631,"Germany"
87621632,87623679,"Lebanon"
87623680,87625727,"Kyrgyzstan"
87625728,87627775,"Netherlands"
87627776,87629823,"Spain"
87629824,87631871,"Iran (ISLAMIC Republic Of)"
87631872,87633919,"Germany"
87633920,87635967,"Denmark"
87635968,87638015,"United Kingdom"
87638016,87640063,"Ukraine"
87640064,87642111,"Serbia"
87642112,87646207,"United Kingdom"
87646208,87654399,"France"
87654400,87670783,"Poland"
87670784,87672831,"Germany"
87672832,87674879,"Switzerland"
87674880,87676927,"United Arab Emirates"
87676928,87678975,"Russian Federation"
87678976,87681023,"Netherlands"
87681024,87683071,"Russian Federation"
87683072,87685119,"Sweden"
87685120,87687167,"Netherlands"
87687168,87752703,"Ukraine"
87752704,87818239,"Czech Republic"
87818240,87883775,"Poland"
87883776,87885823,"Italy"
87885824,87887871,"Russian Federation"
87887872,87889919,"Russian Federation"
87889920,87891967,"Iran (ISLAMIC Republic Of)"
87891968,87900159,"United Kingdom"
87900160,87902207,"Germany"
87902208,87904255,"Iran (ISLAMIC Republic Of)"
87904256,87906303,"Germany"
87906304,87908351,"Finland"
87908352,87912447,"Bulgaria"
87912448,87914495,"Ireland"
87914496,87916543,"United Kingdom"
87916544,87932927,"Germany"
87932928,87934975,"United Kingdom"
87934976,87937023,"Spain"
87937024,87939071,"Spain"
87939072,87941119,"Italy"
87941120,87943167,"Switzerland"
87943168,87945215,"Russian Federation"
87945216,87947263,"Hungary"
87947264,87949311,"Netherlands"
87949312,87965695,"United Kingdom"
87965696,87967743,"Germany"
87967744,87969791,"Germany"
87969792,87973887,"Germany"
87973888,87982079,"Germany"
87982080,88014847,"Russian Federation"
88014848,88016895,"Libyan Arab Jamahiriya"
88016896,88018943,"Iran (ISLAMIC Republic Of)"
88018944,88020991,"United Kingdom"
88020992,88023039,"France"
88023040,88031231,"Turkey"
88031232,88047615,"Kazakhstan"
88047616,88049663,"Russian Federation"
88049664,88051711,"Italy"
88051712,88053759,"United Kingdom"
88053760,88055807,"Russian Federation"
88055808,88057855,"Armenia"
88057856,88059903,"Italy"
88059904,88061951,"Germany"
88061952,88063999,"Poland"
88064000,88080383,"Hungary"
88080384,88604671,"United Kingdom"
88604672,88866815,"Russian Federation"
88866816,88932351,"Kazakhstan"
88932352,88940543,"Russian Federation"
88940544,88948735,"United Kingdom"
88948736,88965119,"Italy"
88965120,88997887,"Armenia"
88997888,89063423,"Germany"
89063424,89079807,"United Kingdom"
89079808,89096191,"Netherlands"
89096192,89128959,"Russian Federation"
89128960,89260031,"United Kingdom"
89260032,89325567,"Saudi Arabia"
89325568,89327615,"Netherlands"
89327616,89329663,"United Kingdom"
89329664,89331711,"Ukraine"
89331712,89333759,"Denmark"
89333760,89337855,"Romania"
89337856,89339903,"Spain"
89339904,89341951,"Finland"
89341952,89350143,"Spain"
89350144,89352191,"United Kingdom"
89352192,89354239,"Italy"
89354240,89356287,"United Arab Emirates"
89356288,89358335,"Italy"
89358336,89374719,"Germany"
89374720,89382911,"United Kingdom"
89382912,89384959,"Norway"
89384960,89387007,"France"
89387008,89391103,"Ireland"
89391104,89653247,"Italy"
89653248,90177535,"Italy"
90177536,90439679,"Italy"
90439680,90456063,"Germany"
90456064,90472447,"Russian Federation"
90472448,90476543,"Germany"
90476544,90478591,"France"
90478592,90480639,"United Kingdom"
90480640,90482687,"Yemen"
90482688,90484735,"United Kingdom"
90484736,90488831,"Norway"
90488832,90497023,"Belarus"
90497024,90499071,"Netherlands"
90499072,90501119,"Italy"
90501120,90503167,"United Kingdom"
90503168,90505215,"Israel"
90505216,90521599,"Russian Federation"
90521600,90529791,"Russian Federation"
90529792,90533887,"Netherlands"
90533888,90537983,"Russian Federation"
90537984,90540031,"Russian Federation"
90540032,90542079,"Russian Federation"
90542080,90544127,"United Kingdom"
90544128,90546175,"Russian Federation"
90546176,90548223,"Germany"
90548224,90550271,"Russian Federation"
90550272,90554367,"Russian Federation"
90554368,90562559,"Russian Federation"
90562560,90570751,"Russian Federation"
90570752,90578943,"Italy"
90578944,90583039,"Iran (ISLAMIC Republic Of)"
90583040,90587135,"Czech Republic"
90587136,90589183,"Poland"
90589184,90591231,"France"
90591232,90595327,"United Kingdom"
90595328,90603519,"Palestinian Territory Occupied"
90603520,90605567,"Spain"
90605568,90607615,"Netherlands"
90607616,90609663,"Switzerland"
90609664,90611711,"Russian Federation"
90611712,90613759,"Germany"
90613760,90615807,"United Kingdom"
90615808,90617855,"Slovenia"
90617856,90619903,"United Kingdom"
90619904,90636287,"Israel"
90636288,90701823,"Denmark"
90701824,90705919,"Turkey"
90705920,90707967,"Czech Republic"
90707968,90710015,"Italy"
90710016,90718207,"Ukraine"
90718208,90720255,"European Union"
90720256,90722303,"Iraq"
90722304,90724351,"Finland"
90724352,90726399,"Switzerland"
90726400,90728447,"France"
90728448,90730495,"Germany"
90730496,90734591,"Netherlands"
90734592,90736639,"Syrian Arab Republic"
90736640,90738687,"Netherlands"
90738688,90740735,"Germany"
90740736,90742783,"Netherlands"
90742784,90750975,"Bulgaria"
90750976,90753023,"France"
90753024,90755071,"Russian Federation"
90755072,90757119,"Poland"
90757120,90759167,"Austria"
90759168,90761215,"Netherlands"
90761216,90763263,"Kazakhstan"
90763264,90765311,"Israel"
90765312,90767359,"Poland"
90767360,90832895,"Ukraine"
90832896,90898431,"Romania"
90898432,90963967,"Romania"
90963968,91226111,"Saudi Arabia"
91226112,92274687,"Iran (ISLAMIC Republic Of)"
92274688,92536831,"Russian Federation"
92536832,92602367,"Netherlands"
92602368,92604415,"Bosnia and Herzegowina"
92604416,92606463,"Poland"
92606464,92608511,"United Kingdom"
92608512,92610559,"Palestinian Territory Occupied"
92610560,92612607,"Switzerland"
92612608,92614655,"United Kingdom"
92614656,92618751,"Italy"
92635136,92643327,"Bosnia and Herzegowina"
92643328,92645375,"Georgia"
92645376,92647423,"United Kingdom"
92647424,92649471,"United Kingdom"
92649472,92651519,"United Kingdom"
92651520,92659711,"Sweden"
92659712,92663807,"Azerbaijan"
92663808,92665855,"United Kingdom"
92665856,92667903,"Poland"
92667904,92669951,"Belgium"
92669952,92671999,"United Kingdom"
92672000,92674047,"Germany"
92674048,92676095,"Switzerland"
92676096,92680191,"Spain"
92680192,92684287,"Azerbaijan"
92684288,92688383,"Poland"
92688384,92690431,"Armenia"
92690432,92692479,"Ireland"
92692480,92694527,"France"
92694528,92696575,"Serbia"
92696576,92698623,"Spain"
92698624,92700671,"Italy"
92700672,92717055,"Iran (ISLAMIC Republic Of)"
92717056,92719103,"Sweden"
92719104,92721151,"Syrian Arab Republic"
92721152,92723199,"Poland"
92723200,92725247,"Russian Federation"
92725248,92733439,"Syrian Arab Republic"
92733440,92798975,"France"
92798976,93323263,"Russian Federation"
93323264,93331455,"Switzerland"
93331456,93333503,"Switzerland"
93333504,93335551,"Switzerland"
93335552,93339647,"Israel"
93339648,93343743,"Russian Federation"
93343744,93347839,"United Kingdom"
93347840,93356031,"Russian Federation"
93356032,93358079,"Iran (ISLAMIC Republic Of)"
93358080,93360127,"France"
93360128,93362175,"Spain"
93362176,93364223,"United Kingdom"
93364224,93368319,"Italy"
93368320,93370367,"United Kingdom"
93370368,93372415,"Italy"
93372416,93388799,"Greece"
93388800,93396991,"Switzerland"
93396992,93405183,"Switzerland"
93405184,93413375,"Switzerland"
93413376,93415423,"Switzerland"
93415424,93417471,"Czech Republic"
93417472,93419519,"Iran (ISLAMIC Republic Of)"
93419520,93421567,"Italy"
93421568,93425663,"Germany"
93425664,93427711,"Gibraltar"
93427712,93429759,"Norway"
93429760,93431807,"Russian Federation"
93431808,93433855,"Spain"
93433856,93435903,"Germany"
93435904,93437951,"Germany"
93437952,93454335,"Russian Federation"
93454336,93585407,"Germany"
93585408,93618175,"United Kingdom"
93618176,93626367,"United Kingdom"
93626368,93634559,"Switzerland"
93634560,93650943,"Hungary"
93650944,93652991,"Switzerland"
93652992,93655039,"United Kingdom"
93655040,93659135,"Switzerland"
93659136,93667327,"Switzerland"
93667328,93675519,"Bosnia and Herzegowina"
93675520,93679615,"Iraq"
93679616,93681663,"Luxembourg"
93681664,93683711,"Ukraine"
93683712,93685759,"Austria"
93685760,93687807,"Belgium"
93687808,93689855,"Russian Federation"
93689856,93691903,"United Kingdom"
93691904,93693951,"Poland"
93693952,93695999,"Ireland"
93696000,93700095,"France"
93700096,93702143,"Poland"
93702144,93704191,"Russian Federation"
93704192,93708287,"Ukraine"
93708288,93712383,"Germany"
93712384,93714431,"Hungary"
93714432,93716479,"United Kingdom"
93716480,93749247,"United Kingdom"
93749248,93753343,"Italy"
93753344,93755391,"Ireland"
93755392,93757439,"United Kingdom"
93757440,93765631,"United Kingdom"
93765632,93782015,"Sweden"
93782016,93847551,"United Kingdom"
93847552,93880319,"Georgia"
93880320,93888511,"Italy"
93888512,93890559,"Poland"
93890560,93892607,"Spain"
93892608,93894655,"United Kingdom"
93894656,93896703,"United States"
93896704,93904895,"United Kingdom"
93904896,93906943,"Latvia"
93906944,93908991,"Bosnia and Herzegowina"
93908992,93911039,"Italy"
93911040,93913087,"United Arab Emirates"
93913088,93929471,"Netherlands"
93929472,93937663,"United Kingdom"
93937664,93939711,"United Kingdom"
93939712,93941759,"Norway"
93941760,93945855,"Switzerland"
93945856,93962239,"Ukraine"
93962240,93970431,"United Kingdom"
93970432,93972479,"United Kingdom"
93972480,93974527,"Estonia"
93974528,93976575,"Switzerland"
93976576,93978623,"United Kingdom"
93978624,94109695,"Romania"
94109696,94175231,"Romania"
94175232,94191615,"Estonia"
94191616,94193663,"United Kingdom"
94193664,94195711,"Slovenia"
94195712,94197759,"Netherlands"
94197760,94199807,"Netherlands"
94199808,94207999,"Italy"
94208000,94240767,"Romania"
94240768,94257151,"Portugal"
94257152,94261247,"Italy"
94261248,94263295,"Spain"
94263296,94265343,"United Kingdom"
94265344,94273535,"Russian Federation"
94273536,94289919,"Germany"
94289920,94291967,"Norway"
94291968,94294015,"France"
94294016,94296063,"United Kingdom"
94296064,94298111,"Spain"
94298112,94300159,"United Kingdom"
94300160,94302207,"Russian Federation"
94302208,94306303,"France"
94306304,94308351,"Austria"
94308352,94310399,"Spain"
94310400,94312447,"Georgia"
94312448,94314495,"Germany"
94314496,94316543,"Netherlands"
94316544,94318591,"Ireland"
94318592,94320639,"Iran (ISLAMIC Republic Of)"
94320640,94322687,"Germany"
94322688,94330879,"Germany"
94330880,94334975,"Russian Federation"
94334976,94337023,"Russian Federation"
94337024,94339071,"United Kingdom"
94339072,94355455,"Spain"
94355456,94357503,"Netherlands"
94357504,94359551,"United Kingdom"
94359552,94361599,"United Kingdom"
94361600,94363647,"Portugal"
94363648,94365695,"United Kingdom"
94365696,94367743,"Hungary"
94367744,94369791,"Spain"
94369792,94371839,"Turkey"
94371840,94502911,"Iran (ISLAMIC Republic Of)"
94502912,94568447,"Oman"
94568448,94633983,"Romania"
94633984,94896127,"Russian Federation"
94896128,95158271,"Italy"
95158272,95166463,"Russian Federation"
95166464,95168511,"Serbia"
95168512,95170559,"Netherlands"
95170560,95174655,"United Kingdom"
95174656,95191039,"Italy"
95191040,95195135,"Switzerland"
95195136,95197183,"Portugal"
95197184,95199231,"United Kingdom"
95199232,95203327,"United Kingdom"
95203328,95205375,"France"
95205376,95207423,"Poland"
95207424,95211519,"Greece"
95211520,95213567,"Italy"
95213568,95215615,"Netherlands"
95215616,95223807,"Poland"
95223808,95289343,"Poland"
95289344,95354879,"Poland"
95354880,95363071,"Germany"
95363072,95365119,"Italy"
95365120,95367167,"Spain"
95367168,95369215,"Italy"
95369216,95371263,"United Kingdom"
95371264,95375359,"Italy"
95375360,95377407,"Netherlands"
95377408,95379455,"Russian Federation"
95379456,95387647,"Russian Federation"
95387648,95420415,"Germany"
95420416,95551487,"Turkey"
95551488,95555583,"Azerbaijan"
95555584,95557631,"United Kingdom"
95557632,95559679,"Russian Federation"
95559680,95561727,"Netherlands"
95561728,95563775,"Italy"
95563776,95567871,"Slovakia (SLOVAK Republic)"
95567872,95569919,"Netherlands"
95569920,95571967,"Sweden"
95571968,95574015,"Russian Federation"
95574016,95576063,"Italy"
95576064,95580159,"United Kingdom"
95580160,95582207,"Netherlands"
95582208,95584255,"Italy"
95584256,95617023,"Georgia"
95617024,95625215,"Latvia"
95625216,95633407,"Ireland"
95633408,95635455,"Ireland"
95635456,95637503,"United Kingdom"
95637504,95641599,"Denmark"
95641600,95645695,"United Kingdom"
95645696,95647743,"Sweden"
95647744,95649791,"France"
95649792,95666175,"Italy"
95666176,95668223,"France"
95668224,95670271,"Germany"
95670272,95672319,"Germany"
95672320,95674367,"Germany"
95674368,95676415,"Germany"
95676416,95678463,"Germany"
95678464,95680511,"Germany"
95680512,95682559,"Germany"
95682560,95944703,"Ukraine"
95944704,96075775,"Poland"
96075776,96141311,"Germany"
96141312,96143359,"Spain"
96143360,96145407,"Georgia"
96145408,96149503,"United Kingdom"
96149504,96151551,"Spain"
96151552,96153599,"Russian Federation"
96153600,96155647,"Poland"
96155648,96157695,"Switzerland"
96157696,96165887,"Russian Federation"
96165888,96174079,"France"
96174080,96206847,"Hungary"
96206848,96337919,"Russian Federation"
96337920,96403455,"Iran (ISLAMIC Republic Of)"
96403456,96468991,"Azerbaijan"
96468992,96731135,"Romania"
96731136,96796671,"Germany"
96796672,96862207,"Azerbaijan"
96862208,96894975,"United Kingdom"
96894976,96897023,"Czech Republic"
96897024,96899071,"United Kingdom"
96899072,96903167,"Austria"
96903168,96911359,"Iran (ISLAMIC Republic Of)"
96911360,96919551,"France"
96919552,96923647,"Italy"
96923648,96925695,"Jordan"
96925696,96927743,"Malta"
96927744,96960511,"United Kingdom"
96960512,96964607,"Germany"
96964608,96968703,"Netherlands"
96968704,96972799,"Lithuania"
96972800,96974847,"Germany"
96974848,96976895,"Russian Federation"
96976896,96985087,"Russian Federation"
96985088,96987135,"Spain"
96987136,96989183,"Ukraine"
96989184,96993279,"Germany"
96993280,97001471,"Netherlands"
97001472,97009663,"Russian Federation"
97009664,97017855,"Iran (ISLAMIC Republic Of)"
97017856,97026047,"Iran (ISLAMIC Republic Of)"
97026048,97058815,"Iran (ISLAMIC Republic Of)"
97058816,97091583,"Poland"
97091584,97124351,"Iran (ISLAMIC Republic Of)"
97124352,97189887,"Iran (ISLAMIC Republic Of)"
97189888,97255423,"Greece"
97255424,97320959,"Hungary"
97320960,97386495,"Spain"
97386496,97419263,"Russian Federation"
97419264,97435647,"Hungary"
97435648,97437695,"Denmark"
97437696,97439743,"Austria"
97439744,97443839,"Netherlands"
97443840,97445887,"Portugal"
97445888,97447935,"Serbia"
97447936,97452031,"Poland"
97452032,97517567,"Ukraine"
97517568,98566143,"Iran (ISLAMIC Republic Of)"
98566144,98697215,"Netherlands"
98697216,98699263,"France"
98699264,98701311,"France"
98701312,98705407,"Spain"
98705408,98707455,"Sweden"
98707456,98709503,"Netherlands"
98709504,98711551,"Iran (ISLAMIC Republic Of)"
98711552,98713599,"United Kingdom"
98713600,98729983,"Poland"
98729984,98732031,"Poland"
98732032,98734079,"United Kingdom"
98734080,98736127,"Switzerland"
98736128,98738175,"Russian Federation"
98738176,98740223,"Norway"
98740224,98742271,"Spain"
98742272,98744319,"United Kingdom"
98744320,98746367,"Spain"
98746368,98762751,"Turkey"
98762752,98828287,"Russian Federation"
98828288,98893823,"Russian Federation"
98893824,98959359,"Turkey"
98959360,99090431,"Germany"
99090432,99614719,"Iran (ISLAMIC Republic Of)"
99614720,99876863,"Sweden"
99876864,100139007,"Saudi Arabia"
100139008,100204543,"Ukraine"
100204544,100237311,"Portugal"
100237312,100245503,"Italy"
100245504,100247551,"Sweden"
100247552,100249599,"Switzerland"
100249600,100253695,"Slovenia"
100253696,100261887,"Russian Federation"
100261888,100270079,"Norway"
